age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,2461661,2342853,0.0068,0.0055,0,0
1,2386506,2270429,0.0004,0.0003,0,0
2,2334571,2220466,0.0003,0.0003,0,0
3,2303225,2190407,0.0003,0.0002,0,0
4,2289835,2177693,0.0003,0.0002,0,0
5,2291772,2179774,0.0002,0.0002,0,0
6,2306400,2194091,0.0002,0.0001,0,0
7,2331091,2218091,0.0002,0.0001,0,0
8,2363212,2249215,0.0001,0.0001,0,0
9,2400127,2284912,0.0001,0.0001,0,0
10,2442089,2325602,0.0001,0.0001,0,0
11,2489342,2371705,0.0001,0.0001,0,0
12,2524860,2405783,0.0002,0.0001,0,0
13,2540254,2419315,0.0003,0.0002,0,0
14,2541530,2418685,0.0004,0.0002,0,0
15,2543826,2419439,0.0005,0.0003,0.017521776,0.018398224
16,2545008,2419255,0.0007,0.0003,0.017521776,0.018398224
17,2539949,2414410,0.0009,0.0004,0.017521776,0.018398224
18,2527894,2404861,0.001,0.0004,0.017521776,0.018398224
19,2510590,2391731,0.0011,0.0004,0.017521776,0.018398224
20,2491849,2377360,0.0012,0.0004,0.04524345,0.04750655
21,2472489,2362684,0.0013,0.0004,0.04524345,0.04750655
22,2449907,2345546,0.0013,0.0004,0.04524345,0.04750655
23,2423719,2325563,0.0013,0.0005,0.04524345,0.04750655
24,2396370,2304943,0.0013,0.0005,0.04524345,0.04750655
25,2369912,2285576,0.0013,0.0005,0.053516538,0.056193462
26,2342975,2266239,0.0013,0.0005,0.053516538,0.056193462
27,2326872,2256956,0.0013,0.0005,0.053516538,0.056193462
28,2327152,2262649,0.0012,0.0005,0.053516538,0.056193462
29,2338785,2278868,0.0012,0.0006,0.053516538,0.056193462
30,2351728,2296700,0.0013,0.0006,0.046960506,0.049309494
31,2368617,2318472,0.0013,0.0006,0.046960506,0.049309494
32,2384149,2339594,0.0013,0.0007,0.046960506,0.049309494
33,2394869,2357057,0.0014,0.0007,0.046960506,0.049309494
34,2403955,2373624,0.0015,0.0008,0.046960506,0.049309494
35,2414799,2391946,0.0016,0.0008,0.02224368,0.02335632
36,2422841,2407759,0.0017,0.0009,0.02224368,0.02335632
37,2446084,2438177,0.0018,0.001,0.02224368,0.02335632
38,2492584,2490774,0.0019,0.0011,0.02224368,0.02335632
39,2551577,2555315,0.0021,0.0012,0.02224368,0.02335632
40,2605089,2614463,0.0022,0.0014,0.004638978,0.004871022
41,2657703,2672246,0.0024,0.0015,0.004638978,0.004871022
42,2689639,2711227,0.0026,0.0016,0.004638978,0.004871022
43,2689535,2721134,0.0029,0.0018,0.004638978,0.004871022
44,2666341,2709593,0.0031,0.002,0.004638978,0.004871022
45,2641384,2695878,0.0034,0.0021,0.00031707,0.00033293
46,2611613,2677774,0.0038,0.0023,0.00031707,0.00033293
47,2572864,2647669,0.0041,0.0025,0.00031707,0.00033293
48,2525588,2604227,0.0045,0.0027,0.00031707,0.00033293
49,2471177,2550622,0.0049,0.0029,0.00031707,0.00033293
50,2410029,2490601,0.0054,0.0031,0,0
51,2341438,2422496,0.0058,0.0034,0,0
52,2273918,2357453,0.0062,0.0036,0,0
53,2211563,2301112,0.0066,0.0039,0,0
54,2150768,2248439,0.007,0.0042,0,0
55,2085946,2191014,0.0075,0.0046,0,0
56,2020734,2133227,0.008,0.005,0,0
57,1943011,2061363,0.0087,0.0054,0,0
58,1846995,1968627,0.0095,0.006,0,0
59,1740046,1863303,0.0104,0.0066,0,0
60,1635308,1760654,0.0114,0.0073,0,0
61,1530167,1657840,0.0125,0.008,0,0
62,1434547,1564479,0.0137,0.0088,0,0
63,1354732,1486976,0.0149,0.0096,0,0
64,1286553,1421356,0.0161,0.0104,0,0
65,1218854,1356499,0.0174,0.0113,0,0
66,1153021,1293737,0.0189,0.0123,0,0
67,1094736,1239913,0.0205,0.0134,0,0
68,1045431,1197037,0.0223,0.0147,0,0
69,1002980,1162533,0.0243,0.0161,0,0
70,962872,1130535,0.0266,0.0177,0,0
71,924885,1100671,0.0291,0.0194,0,0
72,890192,1075841,0.0319,0.0213,0,0
73,858560,1056387,0.035,0.0233,0,0
74,828581,1039940,0.0384,0.0255,0,0
75,799505,1023690,0.0421,0.0279,0,0
76,771970,1008080,0.0462,0.0307,0,0
77,738557,986431,0.0508,0.0338,0,0
78,695643,955076,0.0557,0.0374,0,0
79,646323,916300,0.0612,0.0414,0,0
80,598160,877262,0.0672,0.046,0,0
81,550656,837985,0.0738,0.0511,0,0
82,500677,790647,0.0812,0.0569,0,0
83,447744,732537,0.0893,0.0634,0,0
84,393590,667481,0.0982,0.0705,0,0
85,340499,602492,0.1078,0.0783,0,0
86,288114,536731,0.1183,0.0868,0,0
87,240661,473822,0.1296,0.096,0,0
88,200516,416464,0.1419,0.1059,0,0
89,166237,363643,0.1553,0.1171,0,0
90,133623,311560,0.1704,0.1297,0,0
91,103069,260889,0.1873,0.1443,0,0
92,77716,215562,0.2065,0.1613,0,0
93,58576,177138,0.2278,0.1807,0,0
94,44347,144452,0.2507,0.2021,0,0
95,32432,114388,0.2748,0.2248,0,0
96,22997,87091,0.2996,0.2484,0,0
97,15722,64650,0.3245,0.2722,0,0
98,10064,47638,0.3489,0.2956,0,0
99,5895,35009,0.3725,0.3182,0,0
100,11209,72181,0.4685,0.4244,0,0
