age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,4687036,4489722,0.026,0.0207,0,0
1,4669433,4483348,0.0017,0.0015,0,0
2,4654221,4476884,0.0015,0.0012,0,0
3,4640912,4470321,0.0012,0.001,0,0
4,4629043,4463628,0.0009,0.0007,0,0
5,4618150,4456803,0.0007,0.0005,0,0
6,4607760,4449822,0.0005,0.0003,0,0
7,4597407,4442673,0.0003,0.0002,0,0
8,4586613,4435337,0.0002,0.0002,0,0
9,4574919,4427797,0.0002,0.0002,0,0
10,4562753,4419654,0.0002,0.0002,0,0
11,4550566,4410515,0.0003,0.0003,0,0
12,4533340,4402266,0.0004,0.0003,0,0
13,4508801,4395666,0.0006,0.0004,0,0
14,4479200,4389540,0.0008,0.0004,0,0
15,4447632,4381144,0.001,0.0005,0.022687578,0.023822422
16,4411764,4370024,0.0013,0.0005,0.022687578,0.023822422
17,4380479,4358358,0.0016,0.0005,0.022687578,0.023822422
18,4357963,4346655,0.0018,0.0006,0.022687578,0.023822422
19,4339034,4333180,0.002,0.0006,0.022687578,0.023822422
20,4315846,4316390,0.0022,0.0006,0.05014584,0.05265416
21,4291776,4297420,0.0024,0.0006,0.05014584,0.05265416
22,4252568,4268255,0.0025,0.0007,0.05014584,0.05265416
23,4190904,4225008,0.0025,0.0007,0.05014584,0.05265416
24,4114171,4171408,0.0026,0.0007,0.05014584,0.05265416
25,4037155,4115777,0.0026,0.0008,0.057833568,0.060726432
26,3956987,4057297,0.0026,0.0008,0.057833568,0.060726432
27,3879363,3994982,0.0026,0.0008,0.057833568,0.060726432
28,3808624,3929474,0.0026,0.0009,0.057833568,0.060726432
29,3742017,3861520,0.0026,0.0009,0.057833568,0.060726432
30,3672883,3791534,0.0026,0.0009,0.043419078,0.045590922
31,3603105,3719757,0.0027,0.001,0.043419078,0.045590922
32,3532315,3649072,0.0028,0.001,0.043419078,0.045590922
33,3459830,3581069,0.0029,0.0011,0.043419078,0.045590922
34,3386871,3515137,0.0029,0.0012,0.043419078,0.045590922
35,3313617,3447470,0.003,0.0012,0.020253456,0.021266544
36,3237994,3376936,0.0031,0.0013,0.020253456,0.021266544
37,3170903,3313522,0.0033,0.0014,0.020253456,0.021266544
38,3117154,3261220,0.0034,0.0015,0.020253456,0.021266544
39,3070692,3214723,0.0035,0.0016,0.020253456,0.021266544
40,3022115,3166090,0.0037,0.0018,0.006599934,0.006930066
41,2974991,3118544,0.0039,0.0019,0.006599934,0.006930066
42,2914198,3057586,0.0041,0.0021,0.006599934,0.006930066
43,2831793,2975726,0.0044,0.0023,0.006599934,0.006930066
44,2735423,2880225,0.0047,0.0025,0.006599934,0.006930066
45,2640025,2785271,0.0051,0.0027,0.001039014,0.001090986
46,2541826,2687333,0.0054,0.003,0.001039014,0.001090986
47,2449470,2594506,0.0058,0.0033,0.001039014,0.001090986
48,2368496,2512017,0.0063,0.0035,0.001039014,0.001090986
49,2294120,2435424,0.0067,0.0038,0.001039014,0.001090986
50,2217170,2356341,0.0072,0.0041,0,0
51,2140900,2277998,0.0077,0.0044,0,0
52,2057551,2192401,0.0083,0.0048,0,0
53,1962821,2095231,0.0089,0.0052,0,0
54,1861542,1991522,0.0096,0.0057,0,0
55,1762939,1890691,0.0104,0.0062,0,0
56,1665260,1790917,0.0113,0.0068,0,0
57,1573370,1697852,0.0122,0.0074,0,0
58,1490640,1615277,0.0133,0.0081,0,0
59,1414944,1540769,0.0144,0.0088,0,0
60,1340186,1467396,0.0157,0.0096,0,0
61,1266879,1395749,0.017,0.0105,0,0
62,1199493,1330746,0.0184,0.0115,0,0
63,1139412,1273911,0.0199,0.0126,0,0
64,1084737,1223106,0.0216,0.0137,0,0
65,1032334,1174614,0.0234,0.015,0,0
66,983005,1129106,0.0254,0.0164,0,0
67,933171,1083570,0.0278,0.018,0,0
68,880787,1036109,0.0304,0.0196,0,0
69,827463,987879,0.0334,0.0214,0,0
70,776450,941490,0.0366,0.0233,0,0
71,726613,895886,0.0399,0.0254,0,0
72,680116,852273,0.0434,0.0278,0,0
73,638201,811354,0.0469,0.0304,0,0
74,599362,771909,0.0506,0.0332,0,0
75,561330,732709,0.0547,0.0365,0,0
76,525116,694774,0.0592,0.0401,0,0
77,486550,652594,0.0643,0.0443,0,0
78,443497,603571,0.07,0.049,0,0
79,398162,550511,0.0765,0.0543,0,0
80,354962,499057,0.0837,0.0603,0,0
81,313161,448338,0.0917,0.0672,0,0
82,274075,400047,0.1006,0.0749,0,0
83,238856,355675,0.1103,0.0836,0,0
84,206932,314587,0.1207,0.0931,0,0
85,176389,274623,0.1317,0.1033,0,0
86,147562,236173,0.1433,0.1139,0,0
87,122131,201111,0.1552,0.125,0,0
88,100746,170153,0.1675,0.1365,0,0
89,82730,142761,0.1808,0.1491,0,0
90,66578,117516,0.1953,0.1633,0,0
91,52353,94466,0.2117,0.1799,0,0
92,40434,74658,0.2302,0.1995,0,0
93,30783,58450,0.251,0.2221,0,0
94,23093,45260,0.2735,0.247,0,0
95,16933,34010,0.2972,0.2737,0,0
96,12260,24648,0.3217,0.3013,0,0
97,8635,17269,0.3462,0.3291,0,0
98,5767,11733,0.3704,0.3564,0,0
99,3606,7745,0.3937,0.3825,0,0
100,8144,15194,0.4725,0.5213,0,0
