age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,977672,941870,0.0402,0.0371,0,0
1,967931,931859,0.0039,0.0036,0,0
2,960030,923797,0.0033,0.0031,0,0
3,953609,917344,0.0027,0.0025,0,0
4,948327,912170,0.0021,0.0019,0,0
5,943828,907931,0.0016,0.0014,0,0
6,939762,904298,0.0011,0.001,0,0
7,935778,900933,0.0008,0.0007,0,0
8,931530,897497,0.0006,0.0005,0,0
9,926658,893658,0.0006,0.0005,0,0
10,921497,889709,0.0006,0.0005,0,0
11,916363,885949,0.0007,0.0006,0,0
12,907536,878878,0.0008,0.0007,0,0
13,893316,866893,0.0009,0.0008,0,0
14,875375,851560,0.0011,0.0009,0,0
15,857075,835973,0.0012,0.0009,0.022823957,0.023746043
16,837727,819424,0.0014,0.001,0.022823957,0.023746043
17,818667,803405,0.0016,0.0011,0.022823957,0.023746043
18,800882,788946,0.0019,0.0012,0.022823957,0.023746043
19,783694,775238,0.0021,0.0013,0.022823957,0.023746043
20,765578,760605,0.0024,0.0014,0.056336995,0.058613005
21,747026,745544,0.0027,0.0015,0.056336995,0.058613005
22,727517,729329,0.0029,0.0016,0.056336995,0.058613005
23,706702,711489,0.003,0.0017,0.056336995,0.058613005
24,685085,692567,0.0031,0.0018,0.056336995,0.058613005
25,663597,673682,0.0031,0.0019,0.06675162,0.06944838
26,642189,654737,0.0032,0.002,0.06675162,0.06944838
27,621085,635827,0.0033,0.0021,0.06675162,0.06944838
28,600546,617149,0.0034,0.0022,0.06675162,0.06944838
29,580576,598744,0.0036,0.0022,0.06675162,0.06944838
30,560872,580408,0.0038,0.0023,0.055297983,0.057532017
31,541425,562134,0.004,0.0023,0.055297983,0.057532017
32,523221,544782,0.0041,0.0024,0.055297983,0.057532017
33,506698,528743,0.0043,0.0024,0.055297983,0.057532017
34,491464,513696,0.0044,0.0025,0.055297983,0.057532017
35,476575,498832,0.0045,0.0026,0.031778084,0.033061916
36,462080,484234,0.0046,0.0026,0.031778084,0.033061916
37,448374,470146,0.0048,0.0028,0.031778084,0.033061916
38,435509,456572,0.0049,0.0029,0.031778084,0.033061916
39,423256,443395,0.0051,0.0031,0.031778084,0.033061916
40,411410,430550,0.0053,0.0033,0.012830818,0.013349182
41,400110,418135,0.0055,0.0034,0.012830818,0.013349182
42,388315,405404,0.0057,0.0036,0.012830818,0.013349182
43,375518,392005,0.006,0.0038,0.012830818,0.013349182
44,362191,378295,0.0062,0.004,0.012830818,0.013349182
45,349190,364843,0.0065,0.0043,0.002543619,0.002646381
46,336193,351375,0.0068,0.0045,0.002543619,0.002646381
47,324104,338848,0.0072,0.0048,0.002543619,0.002646381
48,313419,327750,0.0076,0.0052,0.002543619,0.002646381
49,303599,317531,0.0081,0.0056,0.002543619,0.002646381
50,293781,307349,0.0086,0.006,0,0
51,284331,297595,0.0092,0.0065,0,0
52,273905,286757,0.0098,0.007,0,0
53,261815,274066,0.0104,0.0075,0,0
54,248785,260343,0.0111,0.008,0,0
55,236221,247145,0.0118,0.0086,0,0
56,223813,234135,0.0125,0.0093,0,0
57,212332,222203,0.0133,0.01,0,0
58,202284,211940,0.0142,0.0108,0,0
59,193300,202914,0.0152,0.0117,0,0
60,184389,193995,0.0162,0.0127,0,0
61,175631,185270,0.0174,0.0137,0,0
62,167606,177378,0.0188,0.0146,0,0
63,160471,170477,0.0204,0.0157,0,0
64,153955,164275,0.0222,0.0168,0,0
65,147636,158341,0.0242,0.0181,0,0
66,141624,152785,0.0264,0.0197,0,0
67,135302,146919,0.0289,0.0217,0,0
68,128328,140366,0.0317,0.0242,0,0
69,120961,133412,0.0348,0.027,0,0
70,113823,126640,0.0383,0.0299,0,0
71,106840,119836,0.0421,0.0328,0,0
72,99803,113405,0.0463,0.0355,0,0
73,92692,107587,0.0509,0.0379,0,0
74,85576,102080,0.056,0.0405,0,0
75,78584,96546,0.0615,0.0435,0,0
76,71717,91259,0.0675,0.0475,0,0
77,65057,84939,0.0739,0.0528,0,0
78,58668,76974,0.081,0.0597,0,0
79,52546,68069,0.0888,0.0682,0,0
80,46644,59504,0.0976,0.078,0,0
81,40995,50997,0.1076,0.0889,0,0
82,35644,43480,0.1191,0.1007,0,0
83,30606,37540,0.1323,0.1131,0,0
84,25903,32738,0.147,0.1264,0,0
85,21515,28050,0.1631,0.1405,0,0
86,17417,23660,0.1806,0.1555,0,0
87,13860,19695,0.1994,0.1716,0,0
88,10956,16121,0.22,0.1893,0,0
89,8594,12932,0.2437,0.2095,0,0
90,6501,10141,0.272,0.2336,0,0
91,4683,7705,0.3062,0.2627,0,0
92,3247,5698,0.3477,0.2979,0,0
93,2197,4156,0.3963,0.3392,0,0
94,1461,2997,0.4501,0.3852,0,0
95,922,2072,0.5076,0.4343,0,0
96,631,1404,0.5668,0.4851,0,0
97,411,902,0.6262,0.5361,0,0
98,220,517,0.6838,0.5857,0,0
99,62,236,0.7381,0.6325,0,0
100,112,402,1.3052,1.0239,0,0
