age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,2334319,2211218,0.0042,0.0035,0,0
1,2310574,2190211,0.0003,0.0002,0,0
2,2295259,2176785,0.0002,0.0002,0,0
3,2287659,2170321,0.0002,0.0002,0,0
4,2287046,2170193,0.0002,0.0001,0,0
5,2292697,2175775,0.0002,0.0001,0,0
6,2303879,2186451,0.0001,0.0001,0,0
7,2319886,2201594,0.0001,0.0001,0,0
8,2339968,2220580,0.0001,0.0001,0,0
9,2363426,2242788,0.0001,0.0001,0,0
10,2389887,2267979,0.0001,0.0001,0,0
11,2419018,2295937,0.0001,0.0001,0,0
12,2448211,2324063,0.0001,0.0001,0,0
13,2476001,2350967,0.0002,0.0001,0,0
14,2502785,2377190,0.0002,0.0001,0,0
15,2530946,2404960,0.0003,0.0002,0.005687634,0.006029783
16,2560622,2434138,0.0004,0.0002,0.005687634,0.006029783
17,2586762,2461640,0.0005,0.0002,0.005687634,0.006029783
18,2607280,2486215,0.0006,0.0002,0.005687634,0.006029783
19,2624418,2509139,0.0007,0.0003,0.005687634,0.006029783
20,2643355,2533791,0.0007,0.0003,0.025388509,0.026915795
21,2664057,2560585,0.0008,0.0003,0.025388509,0.026915795
22,2684566,2586088,0.0008,0.0003,0.025388509,0.026915795
23,2704777,2609289,0.0008,0.0003,0.025388509,0.026915795
24,2726147,2632361,0.0008,0.0003,0.025388509,0.026915795
25,2749132,2657335,0.0008,0.0003,0.048001363,0.050888961
26,2772267,2682380,0.0008,0.0003,0.048001363,0.050888961
27,2805977,2718197,0.0008,0.0003,0.048001363,0.050888961
28,2855070,2769867,0.0008,0.0003,0.048001363,0.050888961
29,2914425,2832028,0.0008,0.0003,0.048001363,0.050888961
30,2971807,2892169,0.0009,0.0003,0.051669484,0.054777743
31,3026870,2950278,0.0009,0.0004,0.051669484,0.054777743
32,3086333,3011795,0.0009,0.0004,0.051669484,0.054777743
33,3151388,3077358,0.001,0.0004,0.051669484,0.054777743
34,3217369,3143053,0.0011,0.0005,0.051669484,0.054777743
35,3278391,3204256,0.0011,0.0005,0.026335466,0.027919718
36,3335646,3261763,0.0012,0.0006,0.026335466,0.027919718
37,3376346,3304473,0.0013,0.0006,0.026335466,0.027919718
38,3393519,3326342,0.0014,0.0007,0.026335466,0.027919718
39,3391837,3331224,0.0015,0.0008,0.026335466,0.027919718
40,3386039,3332096,0.0017,0.0008,0.005455087,0.005783246
41,3376976,3330035,0.0018,0.0009,0.005455087,0.005783246
42,3346571,3307117,0.002,0.001,0.005455087,0.005783246
43,3288523,3256909,0.0022,0.0012,0.005455087,0.005783246
44,3212285,3188808,0.0025,0.0013,0.005455087,0.005783246
45,3133490,3118380,0.0027,0.0015,0.000397314,0.000421215
46,3048877,3042215,0.003,0.0016,0.000397314,0.000421215
47,2974752,2976766,0.0034,0.0018,0.000397314,0.000421215
48,2920784,2931744,0.0037,0.002,0.000397314,0.000421215
49,2880336,2900240,0.0041,0.0021,0.000397314,0.000421215
50,2834355,2863344,0.0045,0.0023,0,0
51,2783337,2822013,0.0049,0.0025,0,0
52,2743683,2789814,0.0053,0.0027,0,0
53,2720605,2770713,0.0058,0.0029,0,0
54,2706015,2758137,0.0062,0.0032,0,0
55,2690395,2745500,0.0067,0.0034,0,0
56,2680110,2738852,0.0073,0.0037,0,0
57,2642616,2706477,0.0079,0.004,0,0
58,2562169,2633429,0.0087,0.0044,0,0
59,2455469,2536234,0.0095,0.0047,0,0
60,2352032,2443050,0.0104,0.0051,0,0
61,2242446,2344297,0.0114,0.0056,0,0
62,2157227,2273749,0.0124,0.006,0,0
63,2113418,2249792,0.0135,0.0065,0,0
64,2094771,2254679,0.0146,0.0071,0,0
65,2069312,2253747,0.0159,0.0077,0,0
66,2045015,2255691,0.0174,0.0084,0,0
67,2004398,2240653,0.0191,0.0093,0,0
68,1936060,2195831,0.021,0.0103,0,0
69,1849786,2132203,0.0232,0.0115,0,0
70,1765976,2072321,0.0257,0.0129,0,0
71,1679593,2010191,0.0285,0.0145,0,0
72,1598240,1956025,0.0317,0.0163,0,0
73,1527422,1916705,0.0352,0.0184,0,0
74,1462148,1885580,0.0391,0.0208,0,0
75,1392646,1846617,0.0434,0.0236,0,0
76,1321778,1799984,0.048,0.0267,0,0
77,1243071,1753615,0.053,0.0303,0,0
78,1152618,1708838,0.0585,0.0343,0,0
79,1054280,1660559,0.0645,0.039,0,0
80,958358,1609642,0.0714,0.0444,0,0
81,865778,1564702,0.0793,0.0508,0,0
82,767076,1475243,0.0885,0.0583,0,0
83,659555,1318997,0.0991,0.067,0,0
84,549156,1123022,0.1107,0.0767,0,0
85,442722,933024,0.1229,0.0871,0,0
86,336651,735583,0.1353,0.0979,0,0
87,253452,582657,0.1476,0.1089,0,0
88,204296,503395,0.1598,0.12,0,0
89,178656,472400,0.1728,0.1321,0,0
90,154752,436387,0.1874,0.1459,0,0
91,136899,407439,0.2044,0.1621,0,0
92,118514,369074,0.2246,0.1815,0,0
93,94125,308216,0.2482,0.2044,0,0
94,67312,235566,0.2746,0.2301,0,0
95,46421,174000,0.3028,0.2578,0,0
96,30080,118037,0.332,0.2866,0,0
97,17723,74303,0.3612,0.3155,0,0
98,10133,48095,0.3896,0.3438,0,0
99,6101,34428,0.4163,0.3704,0,0
100,10958,52593,0.4706,0.4419,0,0
