age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,1754441,1667359,0.0391,0.0324,0,0
1,1733684,1647956,0.0022,0.0018,0,0
2,1724962,1640317,0.0019,0.0015,0,0
3,1726893,1643102,0.0015,0.0012,0,0
4,1738084,1654973,0.0012,0.0009,0,0
5,1757157,1674591,0.0009,0.0007,0,0
6,1782741,1700627,0.0006,0.0005,0,0
7,1813431,1731728,0.0004,0.0003,0,0
8,1847862,1766565,0.0003,0.0002,0,0
9,1884643,1803808,0.0003,0.0002,0,0
10,1923084,1842824,0.0003,0.0002,0,0
11,1962503,1883010,0.0003,0.0003,0,0
12,1998043,1919405,0.0004,0.0003,0,0
13,2026931,1949238,0.0005,0.0003,0,0
14,2049866,1973325,0.0006,0.0004,0,0
15,2071256,1995994,0.0007,0.0004,0.012517808,0.013270837
16,2091337,2017217,0.0008,0.0004,0.012517808,0.013270837
17,2100627,2029086,0.0009,0.0004,0.012517808,0.013270837
18,2095187,2028354,0.001,0.0005,0.012517808,0.013270837
19,2079204,2018353,0.0011,0.0005,0.012517808,0.013270837
20,2060706,2005769,0.0012,0.0005,0.049235685,0.052197535
21,2038011,1989406,0.0013,0.0005,0.049235685,0.052197535
22,2015428,1971564,0.0013,0.0006,0.049235685,0.052197535
23,1995882,1954119,0.0014,0.0006,0.049235685,0.052197535
24,1977313,1936018,0.0014,0.0006,0.049235685,0.052197535
25,1955198,1914750,0.0015,0.0007,0.057036001,0.060467091
26,1931000,1891315,0.0015,0.0007,0.057036001,0.060467091
27,1902977,1864917,0.0015,0.0007,0.057036001,0.060467091
28,1870001,1835056,0.0016,0.0008,0.057036001,0.060467091
29,1833595,1802765,0.0017,0.0008,0.057036001,0.060467091
30,1797222,1770265,0.0018,0.0009,0.037819323,0.040094403
31,1761109,1738000,0.0019,0.0009,0.037819323,0.040094403
32,1723700,1704497,0.002,0.001,0.037819323,0.040094403
33,1684868,1669546,0.0021,0.001,0.037819323,0.040094403
34,1645978,1634513,0.0022,0.0011,0.037819323,0.040094403
35,1607870,1600289,0.0023,0.0012,0.015603195,0.016541829
36,1569584,1565881,0.0025,0.0013,0.015603195,0.016541829
37,1538714,1538762,0.0027,0.0014,0.015603195,0.016541829
38,1518867,1522475,0.0029,0.0015,0.015603195,0.016541829
39,1506542,1513530,0.0031,0.0016,0.015603195,0.016541829
40,1493416,1503863,0.0034,0.0017,0.00451928,0.004791145
41,1479678,1493876,0.0037,0.0019,0.00451928,0.004791145
42,1468920,1485937,0.0041,0.0021,0.00451928,0.004791145
43,1461607,1480027,0.0045,0.0023,0.00451928,0.004791145
44,1455398,1474463,0.005,0.0025,0.00451928,0.004791145
45,1447746,1467647,0.0055,0.0027,0.000890196,0.000943747
46,1439480,1459904,0.0061,0.003,0.000890196,0.000943747
47,1422521,1445484,0.0067,0.0033,0.000890196,0.000943747
48,1392688,1421370,0.0074,0.0036,0.000890196,0.000943747
49,1353208,1389582,0.0082,0.0039,0.000890196,0.000943747
50,1312544,1356421,0.009,0.0042,0,0
51,1270238,1322110,0.0099,0.0046,0,0
52,1221237,1279513,0.0108,0.0051,0,0
53,1164275,1226185,0.0118,0.0055,0,0
54,1101913,1165815,0.0128,0.006,0,0
55,1039906,1106598,0.0138,0.0066,0,0
56,979389,1049366,0.015,0.0071,0,0
57,916260,989966,0.0162,0.0077,0,0
58,849803,927949,0.0174,0.0084,0,0
59,783674,867059,0.0188,0.0091,0,0
60,719217,807614,0.0204,0.0099,0,0
61,652519,744920,0.0222,0.0109,0,0
62,609317,709837,0.0242,0.012,0,0
63,601393,716290,0.0264,0.0133,0,0
64,615831,748563,0.0289,0.0148,0,0
65,628514,778332,0.0317,0.0165,0,0
66,644933,812799,0.0346,0.0183,0,0
67,649029,828290,0.0376,0.0204,0,0
68,630586,810661,0.0407,0.0226,0,0
69,597353,771487,0.044,0.025,0,0
70,567518,736067,0.0476,0.0277,0,0
71,537708,698781,0.0516,0.0309,0,0
72,506608,664536,0.0559,0.0344,0,0
73,475481,638115,0.0608,0.0385,0,0
74,443852,615566,0.0662,0.0431,0,0
75,410709,589097,0.0722,0.0482,0,0
76,377117,561427,0.0787,0.0539,0,0
77,341153,526725,0.0857,0.0602,0,0
78,302036,481680,0.0933,0.0671,0,0
79,261480,430100,0.1014,0.0747,0,0
80,222073,379921,0.1102,0.0833,0,0
81,183419,330500,0.1194,0.0929,0,0
82,148808,282252,0.1293,0.1036,0,0
83,120199,236457,0.1398,0.1156,0,0
84,96454,193590,0.1509,0.1286,0,0
85,73909,151847,0.1626,0.1425,0,0
86,52598,110458,0.1749,0.1571,0,0
87,36654,79087,0.1878,0.1721,0,0
88,27551,62007,0.2015,0.1876,0,0
89,23328,54801,0.2158,0.2039,0,0
90,20556,48785,0.2309,0.2213,0,0
91,19903,45717,0.2468,0.2402,0,0
92,18621,41588,0.2636,0.2608,0,0
93,14977,33500,0.2812,0.2833,0,0
94,10097,23412,0.2995,0.3071,0,0
95,6415,15409,0.3182,0.3319,0,0
96,4308,10055,0.3371,0.3572,0,0
97,2681,5969,0.356,0.3825,0,0
98,1657,3536,0.3748,0.4075,0,0
99,1061,2293,0.3932,0.4315,0,0
100+,2093,4690,0.4903,0.4908,0,0
