age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,1331289,1257746,0.0131,0.0099,0,0
1,1247547,1179858,0.0011,0.0009,0,0
2,1184407,1121234,0.001,0.0007,0,0
3,1140835,1080961,0.0008,0.0006,0,0
4,1115781,1058108,0.0007,0.0005,0,0
5,1108218,1051759,0.0006,0.0005,0,0
6,1117102,1060988,0.0005,0.0004,0,0
7,1141393,1084877,0.0005,0.0003,0,0
8,1180054,1122500,0.0004,0.0002,0,0
9,1232049,1172939,0.0004,0.0002,0,0
10,1291333,1230435,0.0003,0.0002,0,0
11,1351869,1289235,0.0004,0.0002,0,0
12,1437626,1372583,0.0004,0.0002,0,0
13,1557554,1489226,0.0005,0.0003,0,0
14,1695621,1623736,0.0007,0.0004,0,0
15,1829202,1754222,0.0009,0.0005,0.012177645,0.012786777
16,1965680,1887787,0.0011,0.0006,0.012177645,0.012786777
17,2061928,1983380,0.0014,0.0006,0.012177645,0.012786777
18,2095071,2019208,0.0017,0.0007,0.012177645,0.012786777
19,2084327,2013581,0.0021,0.0007,0.012177645,0.012786777
20,2074360,2008872,0.0025,0.0008,0.042950348,0.045098746
21,2059340,1999313,0.0029,0.0008,0.042950348,0.045098746
22,2032201,1979233,0.0033,0.0009,0.042950348,0.045098746
23,1994905,1950933,0.0038,0.001,0.042950348,0.045098746
24,1950456,1916641,0.0043,0.0011,0.042950348,0.045098746
25,1898886,1875516,0.0047,0.0012,0.048753801,0.051192491
26,1839009,1826841,0.0051,0.0013,0.048753801,0.051192491
27,1791057,1787833,0.0055,0.0014,0.048753801,0.051192491
28,1764761,1766725,0.0059,0.0016,0.048753801,0.051192491
29,1751981,1756792,0.0063,0.0017,0.048753801,0.051192491
30,1738009,1746492,0.0066,0.0018,0.03347902,0.035153657
31,1729548,1742215,0.0069,0.0019,0.03347902,0.035153657
32,1708566,1725519,0.0072,0.002,0.03347902,0.035153657
33,1665825,1687393,0.0074,0.0021,0.03347902,0.035153657
34,1612713,1639510,0.0077,0.0022,0.03347902,0.035153657
35,1565429,1597964,0.008,0.0023,0.014201224,0.014911576
36,1515435,1554032,0.0084,0.0025,0.014201224,0.014911576
37,1499510,1546929,0.0089,0.0026,0.014201224,0.014911576
38,1535898,1596040,0.0096,0.0028,0.014201224,0.014911576
39,1605078,1680789,0.0104,0.003,0.014201224,0.014911576
40,1668604,1760161,0.0112,0.0033,0.003382416,0.003551606
41,1733345,1841098,0.0121,0.0035,0.003382416,0.003551606
42,1783749,1909293,0.0129,0.0037,0.003382416,0.003551606
43,1807918,1953076,0.0137,0.0039,0.003382416,0.003551606
44,1812646,1978473,0.0145,0.0042,0.003382416,0.003551606
45,1817673,2004041,0.0154,0.0045,0.0002863,0.000300621
46,1820281,2027109,0.0164,0.0048,0.0002863,0.000300621
47,1807519,2033517,0.0176,0.0051,0.0002863,0.000300621
48,1775288,2018383,0.0191,0.0056,0.0002863,0.000300621
49,1728044,1986403,0.0208,0.0061,0.0002863,0.000300621
50,1675043,1948055,0.0224,0.0066,0,0
51,1615302,1902377,0.024,0.0072,0,0
52,1549670,1847937,0.0253,0.0078,0,0
53,1479781,1785461,0.0264,0.0084,0,0
54,1405758,1716019,0.0273,0.009,0,0
55,1331980,1648279,0.0283,0.0096,0,0
56,1264657,1590475,0.0296,0.0103,0,0
57,1178917,1506612,0.0313,0.0111,0,0
58,1065130,1382878,0.0337,0.012,0,0
59,939557,1242325,0.0365,0.013,0,0
60,817542,1105770,0.0395,0.014,0,0
61,683348,949810,0.0425,0.015,0,0
62,620018,897046,0.0452,0.0161,0,0
63,666401,1004438,0.0474,0.0171,0,0
64,778987,1207294,0.0494,0.0182,0,0
65,882758,1396382,0.0514,0.0195,0,0
66,1001450,1608448,0.0534,0.021,0,0
67,1051764,1709540,0.0558,0.0227,0,0
68,987459,1626718,0.0588,0.0249,0,0
69,851499,1429317,0.0623,0.0275,0,0
70,729578,1251696,0.0665,0.0306,0,0
71,600337,1057506,0.0712,0.0341,0,0
72,507209,932320,0.0766,0.038,0,0
73,479070,929207,0.0826,0.0425,0,0
74,490815,999622,0.089,0.0473,0,0
75,491120,1046794,0.0955,0.0527,0,0
76,493461,1095863,0.1018,0.0584,0,0
77,474173,1095634,0.1076,0.0644,0,0
78,417373,1012778,0.1129,0.0709,0,0
79,338107,877546,0.1184,0.0782,0,0
80,266622,754551,0.1245,0.0866,0,0
81,196031,632047,0.1319,0.0966,0,0
82,139658,521355,0.1413,0.1086,0,0
83,106898,434976,0.1527,0.1227,0,0
84,90334,366222,0.1657,0.1383,0,0
85,72594,294169,0.1797,0.155,0,0
86,56511,220973,0.1944,0.1722,0,0
87,43971,164842,0.2091,0.1892,0,0
88,33971,132108,0.2245,0.2066,0,0
89,26282,115730,0.2427,0.2264,0,0
90,21663,102456,0.2657,0.2505,0,0
91,19926,95106,0.2955,0.2808,0,0
92,17848,85488,0.3343,0.3192,0,0
93,13885,68246,0.3828,0.3666,0,0
94,9014,47184,0.439,0.421,0,0
95,4363,30470,0.5005,0.4799,0,0
96,3084,17708,0.5649,0.541,0,0
97,2035,8356,0.6297,0.6017,0,0
98,1234,3489,0.6925,0.6597,0,0
99,627,1820,0.7508,0.7124,0,0
100,919,5166,1.2128,0.9232,0,0
