age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,2894506,2772442,0.0278,0.0242,0,0
1,2858076,2740869,0.0023,0.002,0,0
2,2828664,2715010,0.002,0.0018,0,0
3,2805718,2694500,0.0017,0.0015,0,0
4,2788699,2678989,0.0014,0.0013,0,0
5,2777066,2668115,0.0012,0.0011,0,0
6,2770274,2661527,0.0009,0.0009,0,0
7,2767777,2658862,0.0007,0.0007,0,0
8,2769033,2659769,0.0006,0.0006,0,0
9,2773498,2663885,0.0005,0.0006,0,0
10,2780575,2670685,0.0005,0.0005,0,0
11,2789668,2679642,0.0005,0.0006,0,0
12,2800500,2691257,0.0006,0.0006,0,0
13,2812642,2705516,0.0008,0.0007,0,0
14,2825384,2721549,0.001,0.0008,0,0
15,2837301,2737158,0.0012,0.0009,0.017824212,0.018715788
16,2847300,2751186,0.0014,0.001,0.017824212,0.018715788
17,2857604,2767297,0.0017,0.0011,0.017824212,0.018715788
18,2868730,2786573,0.0019,0.0012,0.017824212,0.018715788
19,2878411,2806071,0.002,0.0013,0.017824212,0.018715788
20,2885366,2823160,0.0021,0.0013,0.049672674,0.052157326
21,2891632,2840044,0.0023,0.0014,0.049672674,0.052157326
22,2883418,2842540,0.0024,0.0014,0.049672674,0.052157326
23,2854286,2823856,0.0024,0.0015,0.049672674,0.052157326
24,2811004,2790847,0.0025,0.0016,0.049672674,0.052157326
25,2766991,2757075,0.0026,0.0018,0.059872572,0.062867428
26,2719814,2719723,0.0027,0.0019,0.059872572,0.062867428
27,2674695,2684879,0.0028,0.0019,0.059872572,0.062867428
28,2635666,2656899,0.0029,0.002,0.059872572,0.062867428
29,2600392,2632738,0.003,0.0021,0.059872572,0.062867428
30,2562012,2604668,0.0031,0.0021,0.043277616,0.045442384
31,2521295,2573877,0.0032,0.0022,0.043277616,0.045442384
32,2483296,2542815,0.0034,0.0023,0.043277616,0.045442384
33,2449648,2511813,0.0035,0.0024,0.043277616,0.045442384
34,2418433,2480152,0.0037,0.0025,0.043277616,0.045442384
35,2386047,2446965,0.0038,0.0026,0.021507102,0.022582898
36,2353166,2412657,0.004,0.0028,0.021507102,0.022582898
37,2317705,2374697,0.0041,0.003,0.021507102,0.022582898
38,2278252,2331817,0.0043,0.0031,0.021507102,0.022582898
39,2235681,2285174,0.0045,0.0033,0.021507102,0.022582898
40,2191916,2236823,0.0047,0.0034,0.007565778,0.007944222
41,2146118,2185889,0.0049,0.0036,0.007565778,0.007944222
42,2099475,2134947,0.0052,0.0039,0.007565778,0.007944222
43,2052620,2085333,0.0055,0.0041,0.007565778,0.007944222
44,2004503,2035516,0.0059,0.0045,0.007565778,0.007944222
45,1953943,1983579,0.0064,0.0048,0.0019512,0.0020488
46,1901768,1931058,0.0069,0.0052,0.0019512,0.0020488
47,1843575,1871404,0.0074,0.0056,0.0019512,0.0020488
48,1777231,1801538,0.008,0.006,0.0019512,0.0020488
49,1704985,1725111,0.0086,0.0064,0.0019512,0.0020488
50,1632787,1649644,0.0093,0.0069,0,0
51,1561332,1574564,0.0101,0.0074,0,0
52,1484881,1500403,0.0109,0.008,0,0
53,1401786,1428487,0.0118,0.0085,0,0
54,1315767,1359227,0.0128,0.0092,0,0
55,1231262,1290933,0.0138,0.0099,0,0
56,1146277,1223014,0.015,0.0107,0,0
57,1073789,1164194,0.0163,0.0116,0,0
58,1020352,1118357,0.0177,0.0126,0,0
59,980060,1081623,0.0192,0.0137,0,0
60,939738,1045496,0.0208,0.0149,0,0
61,901184,1010803,0.0226,0.0162,0,0
62,864845,978090,0.0244,0.0176,0,0
63,829361,946495,0.0264,0.0191,0,0
64,794474,915376,0.0286,0.0208,0,0
65,761796,885421,0.031,0.0226,0,0
66,731594,857046,0.0336,0.0246,0,0
67,696994,823529,0.0367,0.0269,0,0
68,654906,781768,0.0401,0.0294,0,0
69,608213,734595,0.0439,0.0322,0,0
70,562943,688212,0.0479,0.0353,0,0
71,517975,641689,0.0521,0.0388,0,0
72,474708,595304,0.0565,0.0427,0,0
73,434466,549915,0.061,0.047,0,0
74,396488,505382,0.0659,0.0517,0,0
75,359009,461068,0.0714,0.0568,0,0
76,322770,417553,0.0776,0.0623,0,0
77,287011,374709,0.085,0.0682,0,0
78,251303,332555,0.0934,0.0745,0,0
79,216472,291705,0.1026,0.0812,0,0
80,183587,252556,0.1123,0.0882,0,0
81,152207,214798,0.1218,0.0957,0,0
82,124970,181516,0.1309,0.1035,0,0
83,103225,154206,0.1395,0.1115,0,0
84,85764,131553,0.1476,0.1198,0,0
85,69819,110592,0.1556,0.128,0,0
86,55702,91735,0.1637,0.1361,0,0
87,43800,75154,0.1721,0.1439,0,0
88,33940,60579,0.1805,0.1512,0,0
89,25907,47944,0.188,0.1573,0,0
90,19505,37267,0.194,0.1619,0,0
91,14610,28322,0.1976,0.1644,0,0
92,10721,21102,0.1979,0.1643,0,0
93,7513,15531,0.1942,0.1612,0,0
94,4976,11348,0.1862,0.1549,0,0
95,3305,8299,0.175,0.1463,0,0
96,2539,6332,0.1619,0.1365,0,0
97,1898,4784,0.1484,0.1263,0,0
98,1299,3257,0.1358,0.1168,0,0
99,756,1880,0.1255,0.1089,0,0
100,1369,3996,0.0683,0.0712,0,0
