age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,16478291,15309450,0.0538,0.0583,0,0
1,16264461,15080572,0.0059,0.0063,0,0
2,16106279,14905929,0.005,0.0053,0,0
3,15995283,14777779,0.004,0.0044,0,0
4,15923009,14688367,0.0031,0.0035,0,0
5,15880996,14629939,0.0023,0.0026,0,0
6,15860785,14594748,0.0016,0.0019,0,0
7,15853911,14575036,0.0012,0.0014,0,0
8,15851908,14563060,0.0009,0.0011,0,0
9,15846324,14551067,0.0008,0.0009,0,0
10,15843882,14544129,0.0008,0.0009,0,0
11,15851305,14547327,0.0009,0.001,0,0
12,15784189,14488769,0.001,0.0011,0,0
13,15603690,14335044,0.0011,0.0012,0,0
14,15346909,14116892,0.0012,0.0014,0,0
15,15088546,13897875,0.0013,0.0015,0.019922756,0.022117244
16,14812141,13664591,0.0014,0.0017,0.019922756,0.022117244
17,14549187,13437545,0.0016,0.0019,0.019922756,0.022117244
18,14322393,13233096,0.0017,0.0021,0.019922756,0.022117244
19,14114515,13039380,0.0019,0.0023,0.019922756,0.022117244
20,13888949,12830953,0.0021,0.0025,0.07776699,0.08633301
21,13657019,12616263,0.0023,0.0026,0.07776699,0.08633301
22,13402436,12383543,0.0025,0.0027,0.07776699,0.08633301
23,13114724,12125492,0.0026,0.0028,0.07776699,0.08633301
24,12806434,11851640,0.0028,0.0028,0.07776699,0.08633301
25,12499798,11578107,0.0029,0.0028,0.072734172,0.080745828
26,12189412,11300804,0.003,0.0028,0.072734172,0.080745828
27,11894719,11036732,0.003,0.0027,0.072734172,0.080745828
28,11627352,10795707,0.0031,0.0026,0.072734172,0.080745828
29,11378223,10569987,0.0031,0.0025,0.072734172,0.080745828
30,11126865,10342169,0.0032,0.0024,0.040722227,0.045207773
31,10877654,10115932,0.0033,0.0024,0.040722227,0.045207773
32,10628756,9889671,0.0036,0.0026,0.040722227,0.045207773
33,10377297,9660923,0.004,0.0029,0.040722227,0.045207773
34,10125592,9431603,0.0044,0.0034,0.040722227,0.045207773
35,9878371,9205951,0.0048,0.0038,0.018088763,0.020081237
36,9634155,8982943,0.0052,0.0041,0.018088763,0.020081237
37,9395558,8763396,0.0054,0.0042,0.018088763,0.020081237
38,9164175,8548094,0.0055,0.0042,0.018088763,0.020081237
39,8938201,8336267,0.0055,0.004,0.018088763,0.020081237
40,8713428,8125811,0.0055,0.0039,0.007070588,0.007849412
41,8489740,7916453,0.0056,0.0039,0.007070588,0.007849412
42,8269147,7710496,0.0059,0.004,0.007070588,0.007849412
43,8051929,7508652,0.0064,0.0044,0.007070588,0.007849412
44,7836566,7309492,0.0071,0.005,0.007070588,0.007849412
45,7617345,7107958,0.0079,0.0057,0.00217994,0.00242006
46,7390682,6901559,0.0086,0.0062,0.00217994,0.00242006
47,7171808,6701841,0.0092,0.0066,0.00217994,0.00242006
48,6966193,6512908,0.0096,0.0067,0.00217994,0.00242006
49,6763627,6327164,0.0099,0.0068,0.00217994,0.00242006
50,6559105,6141032,0.0104,0.0069,0,0
51,6366420,5964942,0.0112,0.0072,0,0
52,6111800,5743244,0.0123,0.0079,0,0
53,5762128,5450982,0.014,0.0091,0,0
54,5357248,5118296,0.0161,0.0106,0,0
55,4964955,4796490,0.0182,0.0123,0,0
56,4565493,4470761,0.0201,0.014,0,0
57,4234062,4197640,0.0215,0.0153,0,0
58,4012978,4009008,0.0224,0.0164,0,0
59,3865414,3877301,0.0232,0.0173,0,0
60,3710971,3740546,0.0242,0.0184,0,0
61,3564201,3608095,0.0258,0.0198,0,0
62,3416256,3481791,0.0284,0.0219,0,0
63,3254151,3355354,0.0321,0.0247,0,0
64,3084435,3228746,0.0368,0.0282,0,0
65,2927653,3109632,0.0417,0.0319,0,0
66,2780931,2998151,0.0464,0.0355,0,0
67,2627620,2870863,0.05,0.0387,0,0
68,2461857,2717370,0.0526,0.0414,0,0
69,2289270,2546932,0.0547,0.0439,0,0
70,2121812,2380482,0.0569,0.0466,0,0
71,1957663,2215352,0.0598,0.05,0,0
72,1798352,2049670,0.0639,0.0544,0,0
73,1646035,1885093,0.0699,0.0603,0,0
74,1500068,1722631,0.0771,0.0671,0,0
75,1358036,1562093,0.085,0.0744,0,0
76,1220917,1404102,0.0927,0.0816,0,0
77,1090075,1254004,0.0995,0.0881,0,0
78,966138,1114651,0.1052,0.0937,0,0
79,849349,984938,0.1102,0.0988,0,0
80,739025,860655,0.1149,0.104,0,0
81,634879,742340,0.1198,0.1096,0,0
82,541139,634906,0.1253,0.116,0,0
83,459713,540286,0.1318,0.1238,0,0
84,388739,456770,0.1394,0.1328,0,0
85,323998,380201,0.1481,0.1432,0,0
86,265752,310798,0.1581,0.155,0,0
87,215053,250340,0.1693,0.1683,0,0
88,171800,199102,0.1819,0.183,0,0
89,135262,156045,0.1955,0.1994,0,0
90,104225,119144,0.2101,0.2175,0,0
91,78234,87976,0.2254,0.2376,0,0
92,57454,63242,0.2412,0.2596,0,0
93,41620,44828,0.2575,0.2834,0,0
94,29941,31632,0.2741,0.3086,0,0
95,21693,22398,0.2909,0.3348,0,0
96,16698,17050,0.3078,0.3615,0,0
97,12752,12902,0.3248,0.3883,0,0
98,8594,8388,0.3417,0.4149,0,0
99,4687,4090,0.3585,0.4407,0,0
100,9247,7939,0.4196,0.5574,0,0
