age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,6362270,6204422,0.1107,0.1027,0,0
1,6067554,5919680,0.032,0.0292,0,0
2,5809340,5669855,0.026,0.0239,0,0
3,5584116,5451648,0.0198,0.0185,0,0
4,5388348,5261725,0.0139,0.0133,0,0
5,5218521,5096782,0.0086,0.0086,0,0
6,5071106,4953497,0.0046,0.0049,0,0
7,4942591,4828556,0.0022,0.0025,0,0
8,4829444,4718637,0.0012,0.0013,0,0
9,4728151,4620423,0.0012,0.001,0,0
10,4639022,4534202,0.0016,0.0013,0,0
11,4562370,4460257,0.002,0.0019,0,0
12,4475503,4377273,0.0021,0.0024,0,0
13,4367231,4274726,0.002,0.0026,0,0
14,4245535,4160108,0.0018,0.0028,0,0
15,4129456,4050843,0.0016,0.0028,0.052917379,0.055564333
16,4015042,3942768,0.0015,0.0029,0.052917379,0.055564333
17,3900937,3836814,0.0015,0.003,0.052917379,0.055564333
18,3788342,3734951,0.0017,0.0032,0.052917379,0.055564333
19,3676254,3634926,0.0023,0.0037,0.052917379,0.055564333
20,3563588,3533925,0.003,0.0042,0.101726349,0.106814752
21,3451881,3434215,0.0037,0.0047,0.101726349,0.106814752
22,3335324,3326109,0.0043,0.0052,0.101726349,0.106814752
23,3211351,3205051,0.0047,0.0057,0.101726349,0.106814752
24,3083498,3076440,0.005,0.0061,0.101726349,0.106814752
25,2957812,2950345,0.0052,0.0064,0.115793651,0.121585707
26,2832992,2824809,0.0053,0.0068,0.115793651,0.121585707
27,2714800,2706128,0.0055,0.0071,0.115793651,0.121585707
28,2606690,2598477,0.0058,0.0074,0.115793651,0.121585707
29,2506238,2499182,0.0061,0.0078,0.115793651,0.121585707
30,2407525,2401042,0.0066,0.0081,0.098403014,0.103325182
31,2311715,2305110,0.0071,0.0084,0.098403014,0.103325182
32,2219587,2214719,0.0078,0.0087,0.098403014,0.103325182
33,2130940,2130667,0.0084,0.009,0.098403014,0.103325182
34,2045876,2051882,0.0092,0.0092,0.098403014,0.103325182
35,1964200,1976281,0.0098,0.0094,0.066950073,0.070298949
36,1885316,1904039,0.0105,0.0096,0.066950073,0.070298949
37,1811715,1834599,0.0109,0.0098,0.066950073,0.070298949
38,1744407,1767396,0.0113,0.0099,0.066950073,0.070298949
39,1681836,1702477,0.0116,0.0101,0.066950073,0.070298949
40,1621632,1640486,0.0118,0.0102,0.033169348,0.034828495
41,1564503,1581346,0.012,0.0104,0.033169348,0.034828495
42,1506820,1523562,0.0123,0.0105,0.033169348,0.034828495
43,1446603,1466474,0.0127,0.0107,0.033169348,0.034828495
44,1385498,1410583,0.0132,0.0108,0.033169348,0.034828495
45,1326530,1356395,0.0138,0.011,0.009309167,0.009774816
46,1268411,1303038,0.0144,0.0111,0.009309167,0.009774816
47,1214485,1253733,0.015,0.0112,0.009309167,0.009774816
48,1166544,1209903,0.0156,0.0113,0.009309167,0.009774816
49,1122413,1169507,0.0162,0.0114,0.009309167,0.009774816
50,1079210,1130150,0.0169,0.0117,0,0
51,1038723,1093537,0.0177,0.0122,0,0
52,993172,1051335,0.0188,0.013,0,0
53,938797,999525,0.0201,0.0142,0,0
54,879780,942499,0.0216,0.0156,0,0
55,823312,887877,0.0232,0.0171,0,0
56,767035,833246,0.0248,0.0186,0,0
57,719272,786793,0.0265,0.0198,0,0
58,684634,753085,0.028,0.0206,0,0
59,658748,727836,0.0296,0.0214,0,0
60,632714,702132,0.0312,0.0222,0,0
61,608355,677691,0.0329,0.0232,0,0
62,582628,652102,0.0348,0.0246,0,0
63,553137,623286,0.0369,0.0265,0,0
64,521538,592526,0.0394,0.029,0,0
65,491853,563346,0.0421,0.0319,0,0
66,463267,535186,0.0452,0.0352,0,0
67,435211,506379,0.0486,0.0387,0,0
68,407793,476475,0.0524,0.0424,0,0
69,380918,445980,0.0566,0.0463,0,0
70,354555,415950,0.0611,0.0505,0,0
71,328912,386350,0.066,0.0551,0,0
72,303115,356993,0.0713,0.06,0,0
73,276804,327961,0.0769,0.0654,0,0
74,250504,299435,0.083,0.0713,0,0
75,225176,271631,0.0894,0.0775,0,0
76,200688,244621,0.0962,0.0842,0,0
77,177575,218751,0.1035,0.0912,0,0
78,156215,194264,0.1112,0.0986,0,0
79,136442,171157,0.1191,0.1062,0,0
80,117693,149167,0.1273,0.1142,0,0
81,100011,128285,0.1355,0.1224,0,0
82,84145,109369,0.1437,0.1309,0,0
83,70374,92773,0.1517,0.1395,0,0
84,58415,78191,0.1589,0.1482,0,0
85,47586,64825,0.1652,0.1568,0,0
86,37895,52694,0.1699,0.1651,0,0
87,29716,42232,0.1729,0.1732,0,0
88,23148,33522,0.1739,0.1807,0,0
89,17931,26331,0.1726,0.1872,0,0
90,13624,20211,0.1688,0.1923,0,0
91,10228,15116,0.1623,0.1956,0,0
92,7549,11062,0.153,0.1969,0,0
93,5435,7988,0.1408,0.1961,0,0
94,3835,5742,0.1264,0.1937,0,0
95,2938,4222,0.1104,0.1902,0,0
96,2329,3320,0.0934,0.1859,0,0
97,1820,2607,0.0762,0.1815,0,0
98,1358,1835,0.0593,0.1773,0,0
99,953,1098,0.0435,0.1737,0,0
100,2432,2816,0.0194,0.0973,0,0
