age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,7257425,7144668,0.11,0.0959,0,0
1,6962539,6865845,0.0221,0.0191,0,0
2,6694511,6611582,0.0182,0.0158,0,0
3,6451244,6380003,0.0141,0.0124,0,0
4,6230663,6169228,0.0103,0.0092,0,0
5,6030669,5977359,0.0068,0.0063,0,0
6,5849185,5802526,0.0042,0.004,0,0
7,5684114,5642836,0.0025,0.0025,0,0
8,5533379,5496407,0.0018,0.0018,0,0
9,5394884,5361352,0.0018,0.0016,0,0
10,5267350,5236431,0.002,0.0017,0,0
11,5149492,5120401,0.0021,0.002,0,0
12,5035208,5008170,0.0022,0.0023,0,0
13,4920802,4896569,0.002,0.0023,0,0
14,4806603,4785639,0.0019,0.0023,0,0
15,4696579,4678397,0.0018,0.0024,0.045772392,0.047147608
16,4589917,4574005,0.0018,0.0024,0.045772392,0.047147608
17,4478246,4465318,0.002,0.0026,0.045772392,0.047147608
18,4357807,4349001,0.0024,0.003,0.045772392,0.047147608
19,4231053,4226959,0.003,0.0036,0.045772392,0.047147608
20,4105063,4105362,0.0039,0.0044,0.099249048,0.102230952
21,3979399,3984080,0.0047,0.0053,0.099249048,0.102230952
22,3848525,3856309,0.0054,0.0063,0.099249048,0.102230952
23,3710680,3719627,0.0059,0.0074,0.099249048,0.102230952
24,3568405,3577173,0.0064,0.0085,0.099249048,0.102230952
25,3426841,3435703,0.0068,0.0097,0.106411452,0.109608548
26,3286002,3295267,0.0072,0.0108,0.106411452,0.109608548
27,3145589,3154397,0.0077,0.012,0.106411452,0.109608548
28,3006330,3013509,0.0084,0.013,0.106411452,0.109608548
29,2869184,2874284,0.0092,0.014,0.106411452,0.109608548
30,2734459,2737786,0.0101,0.0149,0.092328018,0.095101982
31,2602118,2603538,0.0113,0.0158,0.092328018,0.095101982
32,2477227,2479399,0.0125,0.0166,0.092328018,0.095101982
33,2362344,2369323,0.014,0.0173,0.092328018,0.095101982
34,2255802,2270315,0.0155,0.0179,0.092328018,0.095101982
35,2152767,2174802,0.0169,0.0184,0.06595914,0.06794086
36,2053466,2083529,0.0183,0.0187,0.06595914,0.06794086
37,1961944,1999804,0.0194,0.019,0.06595914,0.06794086
38,1879491,1924284,0.0202,0.0191,0.06595914,0.06794086
39,1804227,1855454,0.0207,0.0192,0.06595914,0.06794086
40,1732760,1790781,0.0211,0.0191,0.034940118,0.035989882
41,1665463,1730272,0.0213,0.019,0.034940118,0.035989882
42,1600569,1672556,0.0214,0.0189,0.034940118,0.035989882
43,1536743,1616516,0.0215,0.0188,0.034940118,0.035989882
44,1474463,1562222,0.0216,0.0187,0.034940118,0.035989882
45,1415394,1510699,0.0218,0.0185,0.009718998,0.010011002
46,1359013,1461608,0.0221,0.0182,0.009718998,0.010011002
47,1304229,1412880,0.0225,0.0179,0.009718998,0.010011002
48,1250590,1363544,0.0232,0.0174,0.009718998,0.010011002
49,1198151,1314042,0.024,0.0169,0.009718998,0.010011002
50,1147549,1266122,0.0249,0.0165,0,0
51,1098804,1219837,0.0259,0.0163,0,0
52,1050292,1172476,0.027,0.0164,0,0
53,1001321,1122973,0.028,0.0169,0,0
54,952563,1072595,0.029,0.0179,0,0
55,905272,1023386,0.0301,0.0192,0,0
56,859048,974604,0.0312,0.0206,0,0
57,815057,929190,0.0323,0.0218,0,0
58,773963,888717,0.0335,0.0228,0,0
59,735108,851682,0.0349,0.0236,0,0
60,697184,815024,0.0364,0.0245,0,0
61,660472,779380,0.0381,0.0255,0,0
62,624342,743607,0.0401,0.0268,0,0
63,588334,706823,0.0425,0.0286,0,0
64,552790,669653,0.0451,0.0308,0,0
65,518392,633521,0.0481,0.0333,0,0
66,484878,598080,0.0514,0.0362,0,0
67,452709,563438,0.0551,0.0395,0,0
68,422122,529734,0.0591,0.043,0,0
69,392799,496805,0.0634,0.0468,0,0
70,364329,464447,0.0681,0.0509,0,0
71,336982,432951,0.0731,0.0554,0,0
72,309500,401056,0.0786,0.0604,0,0
73,281277,368195,0.0845,0.0658,0,0
74,252991,335085,0.0909,0.0717,0,0
75,225995,303105,0.0979,0.0782,0,0
76,200119,272110,0.1055,0.0851,0,0
77,175676,242518,0.1139,0.0926,0,0
78,153017,214717,0.123,0.1008,0,0
79,132040,188627,0.1328,0.1096,0,0
80,112242,163742,0.1435,0.1191,0,0
81,93637,140124,0.1549,0.1294,0,0
82,77160,118688,0.1672,0.1407,0,0
83,63202,99806,0.1802,0.1529,0,0
84,51370,83183,0.194,0.1659,0,0
85,40756,67957,0.2084,0.1798,0,0
86,31367,54163,0.2236,0.1945,0,0
87,23591,42391,0.2393,0.2098,0,0
88,17476,32798,0.2556,0.226,0,0
89,12766,25076,0.2728,0.243,0,0
90,9042,18556,0.2908,0.2611,0,0
91,6260,13205,0.3097,0.2804,0,0
92,4159,9055,0.3298,0.3012,0,0
93,2525,6010,0.3509,0.3231,0,0
94,1318,3876,0.3726,0.3461,0,0
95,815,2568,0.3949,0.3697,0,0
96,651,1995,0.4175,0.3936,0,0
97,514,1561,0.4401,0.4177,0,0
98,318,959,0.4626,0.4415,0,0
99,106,308,0.4847,0.4648,0,0
100,126,623,0.578,0.5492,0,0
