age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,1690014,1619482,0.0242,0.021,0,0
1,1573745,1508547,0.0013,0.0012,0,0
2,1490042,1428702,0.0012,0.001,0,0
3,1435379,1376565,0.001,0.0009,0,0
4,1406232,1348786,0.0009,0.0007,0,0
5,1399051,1341984,0.0008,0.0006,0,0
6,1410319,1352798,0.0007,0.0005,0,0
7,1436499,1377858,0.0006,0.0004,0,0
8,1474059,1413805,0.0005,0.0004,0,0
9,1519469,1457261,0.0004,0.0003,0,0
10,1573518,1508563,0.0004,0.0003,0,0
11,1637020,1568031,0.0004,0.0003,0,0
12,1684780,1613828,0.0005,0.0003,0,0
13,1704605,1635193,0.0006,0.0004,0,0
14,1705960,1639845,0.0007,0.0004,0,0
15,1709641,1645572,0.0009,0.0005,0.009238932,0.009701068
16,1710470,1647985,0.0011,0.0005,0.009238932,0.009701068
17,1713162,1648814,0.0013,0.0006,0.009238932,0.009701068
18,1721811,1650434,0.0014,0.0006,0.009238932,0.009701068
19,1732272,1650110,0.0015,0.0007,0.009238932,0.009701068
20,1736983,1644173,0.0016,0.0007,0.04029228,0.04230772
21,1738283,1635055,0.0016,0.0007,0.04029228,0.04230772
22,1729275,1612510,0.0016,0.0007,0.04029228,0.04230772
23,1706026,1571590,0.0016,0.0007,0.04029228,0.04230772
24,1672310,1517972,0.0016,0.0007,0.04029228,0.04230772
25,1636907,1463155,0.0015,0.0008,0.0646335,0.0678665
26,1599388,1405925,0.0015,0.0008,0.0646335,0.0678665
27,1556849,1348197,0.0015,0.0008,0.0646335,0.0678665
28,1509170,1292456,0.0015,0.0009,0.0646335,0.0678665
29,1458253,1238548,0.0015,0.0009,0.0646335,0.0678665
30,1405610,1183171,0.0015,0.0009,0.053116542,0.055773458
31,1350290,1126143,0.0016,0.001,0.053116542,0.055773458
32,1301158,1076930,0.0017,0.0011,0.053116542,0.055773458
33,1262571,1039646,0.0018,0.0011,0.053116542,0.055773458
34,1230729,1010382,0.0018,0.0012,0.053116542,0.055773458
35,1197578,981080,0.0019,0.0013,0.027136314,0.028493686
36,1164878,953313,0.0021,0.0014,0.027136314,0.028493686
37,1130413,924606,0.0022,0.0015,0.027136314,0.028493686
38,1092331,892881,0.0024,0.0017,0.027136314,0.028493686
39,1052069,859486,0.0025,0.0018,0.027136314,0.028493686
40,1012747,827979,0.0027,0.002,0.010736478,0.011273522
41,973508,797837,0.003,0.0021,0.010736478,0.011273522
42,935381,767451,0.0032,0.0023,0.010736478,0.011273522
43,899120,736422,0.0035,0.0025,0.010736478,0.011273522
44,863907,705289,0.0038,0.0027,0.010736478,0.011273522
45,828370,674695,0.0042,0.003,0.002502414,0.002627586
46,793040,644201,0.0046,0.0032,0.002502414,0.002627586
47,756035,615901,0.005,0.0035,0.002502414,0.002627586
48,716377,590802,0.0056,0.0038,0.002502414,0.002627586
49,675064,567808,0.0061,0.0042,0.002502414,0.002627586
50,634752,545034,0.0068,0.0045,0,0
51,595694,523183,0.0075,0.0049,0,0
52,555443,499792,0.0083,0.0053,0,0
53,513297,473556,0.0091,0.0058,0,0
54,470821,445782,0.01,0.0063,0,0
55,429962,419282,0.0111,0.0069,0,0
56,389943,393738,0.0122,0.0075,0,0
57,355872,369168,0.0135,0.0082,0,0
58,330353,345939,0.0149,0.009,0,0
59,311121,324143,0.0164,0.0099,0,0
60,292910,303096,0.0181,0.011,0,0
61,276320,282446,0.02,0.0121,0,0
62,262287,265508,0.022,0.0133,0,0
63,250599,253712,0.0243,0.0147,0,0
64,240769,245428,0.0267,0.0162,0,0
65,232351,237494,0.0293,0.0179,0,0
66,225207,230436,0.0321,0.0198,0,0
67,218094,222893,0.035,0.0219,0,0
68,210268,213828,0.0381,0.0242,0,0
69,201920,203778,0.0415,0.0268,0,0
70,194090,194386,0.0452,0.0298,0,0
71,186726,185427,0.0493,0.0332,0,0
72,177878,175582,0.0538,0.037,0,0
73,166731,164383,0.059,0.0415,0,0
74,154042,152291,0.0647,0.0465,0,0
75,141588,140366,0.0712,0.0522,0,0
76,129268,128579,0.0783,0.0585,0,0
77,116490,116519,0.0862,0.0656,0,0
78,103229,104153,0.0949,0.0734,0,0
79,89851,91757,0.1045,0.0822,0,0
80,76764,79678,0.1151,0.0918,0,0
81,63912,67916,0.1267,0.1024,0,0
82,52362,57062,0.1394,0.1142,0,0
83,42697,47487,0.1533,0.127,0,0
84,34569,39024,0.1681,0.1409,0,0
85,26891,31040,0.1839,0.1558,0,0
86,19730,23545,0.2005,0.1716,0,0
87,14019,17425,0.2178,0.1883,0,0
88,10055,13034,0.2357,0.206,0,0
89,7432,9969,0.2544,0.2248,0,0
90,5366,7405,0.274,0.245,0,0
91,3930,5435,0.2944,0.2668,0,0
92,2833,3892,0.3159,0.2903,0,0
93,1815,2583,0.3383,0.3154,0,0
94,932,1540,0.3613,0.3418,0,0
95,446,917,0.3848,0.3689,0,0
96,436,711,0.4086,0.3966,0,0
97,422,558,0.4326,0.4243,0,0
98,278,328,0.4564,0.4517,0,0
99,68,72,0.4798,0.4784,0,0
100,107,188,0.5529,0.5999,0,0
