age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,5148369,4919770,0.0884,0.0853,0,0
1,5127594,4897465,0.0108,0.0103,0,0
2,5103293,4872412,0.009,0.0086,0,0
3,5075740,4844784,0.0071,0.0069,0,0
4,5045189,4814769,0.0053,0.0053,0,0
5,5011913,4782543,0.0037,0.0038,0,0
6,4976173,4748294,0.0024,0.0026,0,0
7,4938235,4712198,0.0016,0.0017,0,0
8,4898362,4674442,0.0012,0.0013,0,0
9,4856822,4635202,0.0011,0.0011,0,0
10,4809672,4590946,0.0011,0.0011,0,0
11,4752975,4538128,0.0012,0.0012,0,0
12,4708017,4495537,0.0012,0.0013,0,0
13,4683464,4470799,0.0012,0.0014,0,0
14,4666982,4452926,0.0012,0.0014,0,0
15,4641981,4427328,0.0011,0.0014,0.022741236,0.023878764
16,4617119,4401723,0.0012,0.0015,0.022741236,0.023878764
17,4550735,4338576,0.0012,0.0015,0.022741236,0.023878764
18,4422131,4219263,0.0014,0.0017,0.022741236,0.023878764
19,4252508,4062874,0.0017,0.0018,0.022741236,0.023878764
20,4084370,3907810,0.002,0.002,0.070652952,0.074187048
21,3909908,3747201,0.0022,0.0021,0.070652952,0.074187048
22,3744511,3594139,0.0024,0.0023,0.070652952,0.074187048
23,3600358,3459281,0.0026,0.0024,0.070652952,0.074187048
24,3470294,3336648,0.0027,0.0025,0.070652952,0.074187048
25,3335470,3209850,0.0027,0.0026,0.090189342,0.094700658
26,3200243,3082420,0.0028,0.0026,0.090189342,0.094700658
27,3069525,2960666,0.0028,0.0027,0.090189342,0.094700658
28,2944098,2846177,0.0029,0.0028,0.090189342,0.094700658
29,2824250,2738264,0.003,0.0028,0.090189342,0.094700658
30,2709427,2634572,0.0032,0.0029,0.072643176,0.076276824
31,2599643,2535495,0.0033,0.0031,0.072643176,0.076276824
32,2498268,2443126,0.0035,0.0032,0.072643176,0.076276824
33,2406889,2358255,0.0037,0.0033,0.072643176,0.076276824
34,2324318,2280246,0.0039,0.0035,0.072643176,0.076276824
35,2246181,2206124,0.0041,0.0036,0.041263002,0.043326998
36,2171432,2134591,0.0043,0.0037,0.041263002,0.043326998
37,2108194,2073440,0.0046,0.0039,0.041263002,0.043326998
38,2059456,2025650,0.0048,0.004,0.041263002,0.043326998
39,2020555,1986605,0.005,0.0041,0.041263002,0.043326998
40,1983406,1948897,0.0052,0.0042,0.018760788,0.019699212
41,1949099,1914200,0.0055,0.0044,0.018760788,0.019699212
42,1911752,1873768,0.0058,0.0045,0.018760788,0.019699212
43,1867429,1822544,0.0062,0.0047,0.018760788,0.019699212
44,1818022,1764169,0.0066,0.0049,0.018760788,0.019699212
45,1769911,1707664,0.0071,0.0052,0.006229206,0.006540794
46,1722506,1651611,0.0076,0.0056,0.006229206,0.006540794
47,1669159,1593607,0.0082,0.006,0.006229206,0.006540794
48,1607420,1533468,0.0089,0.0064,0.006229206,0.006540794
49,1539868,1471863,0.0097,0.007,0.006229206,0.006540794
50,1472395,1410255,0.0106,0.0076,0,0
51,1404842,1349094,0.0115,0.0083,0,0
52,1335372,1287085,0.0125,0.0091,0,0
53,1264014,1223976,0.0135,0.0099,0,0
54,1192156,1160972,0.0147,0.0108,0,0
55,1121062,1099312,0.0159,0.0117,0,0
56,1050319,1038494,0.0172,0.0127,0,0
57,985388,983014,0.0187,0.0138,0,0
58,929064,935179,0.0203,0.0149,0,0
59,879268,893089,0.022,0.0161,0,0
60,830429,851823,0.0238,0.0174,0,0
61,782850,811456,0.0257,0.0188,0,0
62,740111,775312,0.0277,0.0201,0,0
63,703184,744253,0.0298,0.0216,0,0
64,670283,716442,0.0321,0.0232,0,0
65,638946,689713,0.0346,0.0253,0,0
66,609976,665116,0.0376,0.0279,0,0
67,578538,636067,0.0411,0.0312,0,0
68,542072,599253,0.0451,0.0353,0,0
69,502726,557746,0.0497,0.04,0,0
70,465198,517646,0.0545,0.045,0,0
71,428547,477392,0.0596,0.0498,0,0
72,393410,440269,0.0646,0.0541,0,0
73,360603,408424,0.0697,0.0579,0,0
74,329576,379949,0.075,0.0617,0,0
75,299283,351434,0.0809,0.0661,0,0
76,270268,324339,0.0877,0.0716,0,0
77,241382,294533,0.0957,0.0789,0,0
78,212053,259874,0.1052,0.0884,0,0
79,183124,222865,0.1158,0.0997,0,0
80,155863,187927,0.1274,0.1123,0,0
81,129825,153925,0.1394,0.1255,0,0
82,107184,124842,0.1517,0.1388,0,0
83,89072,103045,0.1641,0.1521,0,0
84,74483,86596,0.1771,0.1659,0,0
85,61100,71054,0.191,0.1807,0,0
86,49217,57101,0.2063,0.197,0,0
87,39047,45144,0.2233,0.2154,0,0
88,30422,34862,0.2422,0.2359,0,0
89,23220,26188,0.2627,0.2579,0,0
90,17373,19214,0.2843,0.2807,0,0
91,12755,13733,0.3067,0.3038,0,0
92,9112,9474,0.3297,0.3265,0,0
93,6260,6256,0.3531,0.3487,0,0
94,4125,3937,0.3766,0.3706,0,0
95,2792,2497,0.4004,0.3921,0,0
96,2044,1947,0.4243,0.4136,0,0
97,1449,1536,0.4481,0.435,0,0
98,911,921,0.472,0.4565,0,0
99,459,247,0.4956,0.4782,0,0
100,691,562,0.5775,0.5513,0,0
