age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,727947,690768,0.0038,0.0032,0,0
1,754368,715005,0.0003,0.0003,0,0
2,775307,734305,0.0003,0.0002,0,0
3,791421,749264,0.0003,0.0002,0,0
4,803357,760469,0.0002,0.0002,0,0
5,811771,768515,0.0002,0.0001,0,0
6,817316,773988,0.0002,0.0001,0,0
7,820639,777484,0.0001,0.0001,0,0
8,822398,779592,0.0001,0.0001,0,0
9,823241,780902,0.0001,0.0001,0,0
10,823168,781448,0.0001,0.0001,0,0
11,822188,781259,0.0001,0.0001,0,0
12,824200,783729,0.0001,0.0001,0,0
13,831158,790561,0.0001,0.0001,0,0
14,841767,800677,0.0002,0.0001,0,0
15,852501,810988,0.0003,0.0001,0.004072506,0.004317494
16,863741,821776,0.0003,0.0002,0.004072506,0.004317494
17,877492,835197,0.0004,0.0002,0.004072506,0.004317494
18,894284,851910,0.0005,0.0002,0.004072506,0.004317494
19,913317,871005,0.0005,0.0003,0.004072506,0.004317494
20,933520,891309,0.0006,0.0003,0.020585814,0.021824186
21,955439,913526,0.0006,0.0003,0.020585814,0.021824186
22,976356,934323,0.0007,0.0003,0.020585814,0.021824186
23,994928,952067,0.0007,0.0003,0.020585814,0.021824186
24,1012506,968498,0.0007,0.0003,0.020585814,0.021824186
25,1029327,984452,0.0007,0.0003,0.043889868,0.046530132
26,1042372,996707,0.0007,0.0003,0.043889868,0.046530132
27,1065137,1019637,0.0007,0.0003,0.043889868,0.046530132
28,1103408,1059477,0.0007,0.0003,0.043889868,0.046530132
29,1149200,1107842,0.0007,0.0003,0.043889868,0.046530132
30,1191362,1152527,0.0008,0.0004,0.046506174,0.049303826
31,1235278,1198898,0.0008,0.0004,0.046506174,0.049303826
32,1255704,1222474,0.0008,0.0004,0.046506174,0.049303826
33,1239957,1210768,0.0009,0.0005,0.046506174,0.049303826
34,1200866,1176171,0.0009,0.0005,0.046506174,0.049303826
35,1163516,1143304,0.001,0.0005,0.020585814,0.021824186
36,1122372,1106953,0.0011,0.0006,0.020585814,0.021824186
37,1090235,1077999,0.0011,0.0006,0.020585814,0.021824186
38,1075841,1064255,0.0012,0.0007,0.020585814,0.021824186
39,1072650,1060100,0.0013,0.0007,0.020585814,0.021824186
40,1066363,1053072,0.0014,0.0008,0.003480318,0.003689682
41,1061020,1046819,0.0015,0.0008,0.003480318,0.003689682
42,1052170,1037745,0.0017,0.0009,0.003480318,0.003689682
43,1036554,1023194,0.0018,0.0009,0.003480318,0.003689682
44,1017984,1006538,0.002,0.001,0.003480318,0.003689682
45,1002787,993041,0.0022,0.0011,0.000165036,0.000174964
46,988795,980733,0.0024,0.0012,0.000165036,0.000174964
47,984250,977990,0.0027,0.0014,0.000165036,0.000174964
48,993597,989220,0.0029,0.0015,0.000165036,0.000174964
49,1012624,1010209,0.0033,0.0017,0.000165036,0.000174964
50,1029496,1029333,0.0036,0.0019,0,0
51,1042788,1045313,0.0039,0.002,0,0
52,1065551,1070304,0.0043,0.0022,0,0
53,1101857,1108014,0.0047,0.0023,0,0
54,1143726,1150969,0.0051,0.0025,0,0
55,1182649,1191338,0.0055,0.0026,0,0
56,1224609,1234733,0.006,0.0028,0,0
57,1235202,1248527,0.0065,0.003,0,0
58,1197805,1216977,0.0072,0.0032,0,0
59,1129441,1156190,0.0079,0.0035,0,0
60,1063361,1097767,0.0087,0.0038,0,0
61,992412,1035067,0.0096,0.0042,0,0
62,933345,983254,0.0104,0.0045,0,0
63,897695,952965,0.0112,0.0049,0,0
64,877083,936668,0.012,0.0052,0,0
65,850874,915329,0.013,0.0057,0,0
66,822332,891716,0.0141,0.0062,0,0
67,796547,872213,0.0154,0.0068,0,0
68,773714,857760,0.017,0.0075,0,0
69,752504,846285,0.0189,0.0084,0,0
70,731344,834824,0.0211,0.0094,0,0
71,710483,824027,0.0235,0.0105,0,0
72,686176,809047,0.0261,0.0117,0,0
73,656371,787184,0.0291,0.013,0,0
74,622348,760315,0.0323,0.0145,0,0
75,588579,733282,0.0358,0.0162,0,0
76,555538,705404,0.0397,0.0182,0,0
77,516538,674841,0.044,0.0205,0,0
78,469137,641261,0.0489,0.0233,0,0
79,416870,605293,0.0543,0.0266,0,0
80,365617,568511,0.0603,0.0305,0,0
81,314108,531326,0.0671,0.035,0,0
82,268387,491996,0.0747,0.0402,0,0
83,232027,450046,0.0832,0.0461,0,0
84,202517,406803,0.0924,0.0528,0,0
85,173519,363999,0.1024,0.0601,0,0
86,146011,321225,0.1129,0.068,0,0
87,121941,282004,0.124,0.0765,0,0
88,101562,248240,0.1358,0.0856,0,0
89,84298,218580,0.1486,0.0959,0,0
90,69245,189892,0.1632,0.1079,0,0
91,56463,162974,0.18,0.1221,0,0
92,45179,137444,0.1996,0.1392,0,0
93,34871,112855,0.2219,0.1593,0,0
94,25721,89746,0.2465,0.1817,0,0
95,18244,68810,0.2725,0.2059,0,0
96,12136,49550,0.2993,0.231,0,0
97,7506,34129,0.3262,0.2564,0,0
98,4394,23574,0.3524,0.2812,0,0
99,2488,16708,0.3773,0.3049,0,0
100,4131,27618,0.4608,0.4055,0,0
