age,mal.N,fem.N,mal.M,fem.M,mal.m,fem.m
0,11570653,10194370,0.0231,0.0278,0,0
1,11849738,10430942,0.0015,0.0018,0,0
2,12097784,10652913,0.0013,0.0015,0,0
3,12319174,10862646,0.0011,0.0013,0,0
4,12518302,11062524,0.0009,0.001,0,0
5,12699548,11254918,0.0008,0.0008,0,0
6,12867313,11442202,0.0006,0.0006,0,0
7,13025972,11626753,0.0005,0.0004,0,0
8,13179918,11810948,0.0004,0.0004,0,0
9,13333534,11997153,0.0003,0.0003,0,0
10,13457365,12159152,0.0003,0.0003,0,0
11,13521948,12270697,0.0004,0.0003,0,0
12,13700914,12477208,0.0004,0.0004,0,0
13,14066345,12838248,0.0005,0.0004,0,0
14,14521091,13270392,0.0007,0.0004,0,0
15,14930286,13664099,0.0008,0.0004,0.005475437,0.006078555
16,15362153,14081448,0.001,0.0005,0.005475437,0.006078555
17,15501869,14226256,0.0011,0.0005,0.005475437,0.006078555
18,15192278,13952852,0.0012,0.0006,0.005475437,0.006078555
19,14595454,13414151,0.0013,0.0006,0.005475437,0.006078555
20,14048284,12921435,0.0014,0.0006,0.047845621,0.053115808
21,13504596,12427653,0.0015,0.0007,0.047845621,0.053115808
22,13018507,12010559,0.0015,0.0007,0.047845621,0.053115808
23,12657849,11745202,0.0015,0.0007,0.047845621,0.053115808
24,12406852,11602702,0.0015,0.0007,0.047845621,0.053115808
25,12139908,11441174,0.0015,0.0008,0.054477417,0.060478094
26,11831745,11243468,0.0015,0.0008,0.054477417,0.060478094
27,11815078,11296203,0.0015,0.0008,0.054477417,0.060478094
28,12226891,11713334,0.0015,0.0008,0.054477417,0.060478094
29,12905859,12355660,0.0015,0.0009,0.054477417,0.060478094
30,13547558,12965155,0.0015,0.0009,0.033801155,0.037524346
31,14205556,13587518,0.0016,0.001,0.033801155,0.037524346
32,14718003,14070358,0.0016,0.001,0.033801155,0.037524346
33,14971094,14309696,0.0017,0.0011,0.033801155,0.037524346
34,15030547,14366651,0.0018,0.0012,0.033801155,0.037524346
35,15098304,14426287,0.0019,0.0012,0.014301256,0.015876536
36,15160930,14475520,0.002,0.0013,0.014301256,0.015876536
37,15033669,14352127,0.0021,0.0014,0.014301256,0.015876536
38,14653329,14001475,0.0022,0.0015,0.014301256,0.015876536
39,14099455,13493228,0.0024,0.0016,0.014301256,0.015876536
40,13530940,12970044,0.0026,0.0018,0.005722343,0.006352658
41,12935385,12425423,0.0028,0.0019,0.005722343,0.006352658
42,12338220,11862390,0.0031,0.0021,0.005722343,0.006352658
43,11774510,11304066,0.0034,0.0022,0.005722343,0.006352658
44,11247790,10765640,0.0037,0.0024,0.005722343,0.006352658
45,10691181,10200998,0.0041,0.0026,0.002791987,0.003099523
46,10075647,9573567,0.0045,0.0029,0.002791987,0.003099523
47,9681076,9185923,0.0049,0.0031,0.002791987,0.003099523
48,9626585,9169472,0.0054,0.0034,0.002791987,0.003099523
49,9773858,9373007,0.0059,0.0037,0.002791987,0.003099523
50,9891432,9542396,0.0065,0.004,0,0
51,10056755,9762675,0.0071,0.0044,0,0
52,9979418,9718830,0.0078,0.0047,0,0
53,9501449,9239328,0.0086,0.0052,0,0
54,8771440,8486035,0.0095,0.0057,0,0
55,8096286,7792375,0.0105,0.0062,0,0
56,7415004,7091684,0.0115,0.0068,0,0
57,6820449,6488209,0.0126,0.0074,0,0
58,6389884,6067410,0.0139,0.0081,0,0
59,6072352,5772353,0.0152,0.0089,0,0
60,5730525,5451797,0.0166,0.0097,0,0
61,5380930,5125359,0.0181,0.0107,0,0
62,5096762,4865977,0.0198,0.0118,0,0
63,4897235,4691461,0.0216,0.013,0,0
64,4754342,4575185,0.0236,0.0145,0,0
65,4620658,4470707,0.0258,0.0161,0,0
66,4505395,4384921,0.0282,0.0179,0,0
67,4364387,4283561,0.0309,0.02,0,0
68,4170700,4144048,0.0339,0.0224,0,0
69,3941930,3978104,0.0373,0.0251,0,0
70,3726673,3823984,0.041,0.0282,0,0
71,3520119,3678764,0.0449,0.0317,0,0
72,3291646,3503871,0.0492,0.0357,0,0
73,3032450,3285402,0.0539,0.0402,0,0
74,2755204,3039201,0.059,0.0452,0,0
75,2482245,2795601,0.0645,0.0509,0,0
76,2210081,2549236,0.0708,0.0573,0,0
77,1954817,2314908,0.0777,0.0645,0,0
78,1727054,2103285,0.0854,0.0726,0,0
79,1521094,1908232,0.0938,0.0815,0,0
80,1320410,1713964,0.1026,0.0912,0,0
81,1128035,1524834,0.1119,0.1019,0,0
82,953307,1342756,0.1215,0.1136,0,0
83,799168,1167505,0.1311,0.1261,0,0
84,663282,1000898,0.1408,0.1395,0,0
85,539133,844419,0.1505,0.1536,0,0
86,426538,697128,0.1602,0.1683,0,0
87,331416,567317,0.1696,0.1836,0,0
88,255575,459066,0.1787,0.1994,0,0
89,195740,368754,0.1872,0.2164,0,0
90,145665,287274,0.1949,0.2351,0,0
91,105308,214876,0.2017,0.2559,0,0
92,73748,156638,0.2072,0.2794,0,0
93,49483,113637,0.2117,0.3054,0,0
94,31652,82876,0.2154,0.3335,0,0
95,20496,59603,0.2186,0.363,0,0
96,15557,43991,0.2215,0.3932,0,0
97,11901,31876,0.2243,0.4236,0,0
98,7049,20449,0.2273,0.4535,0,0
99,2021,10511,0.2307,0.4824,0,0
100,4307,17487,0.2723,0.6887,0,0
